version,scene,cache,method,firstImageReadyMs,firstSceneMs,currentViewMs,rpcMs,frameWaitMs,slowFrameWait,rpcCount,cacheHits,imageBytes,tiles
19,A,cleared,single,4988,5100,5100,4971,7,false,1,0,1392777,0
19,A,cleared,full,10643,10703,20667,19522,1002,true,2,0,1212096,0
19,A,cleared,tiles,7002,7992,14198,12188,1939,true,2,0,438534,8
19,A,cleared,full,16295,18034,25525,22741,2687,true,2,0,1212096,0
19,A,cleared,tiles,4276,5272,13331,11314,1946,true,2,0,438534,8
19,A,cleared,single,4084,5071,5071,4070,883,true,1,0,1392777,0
19,A,cleared,tiles,3439,4438,10044,8024,1949,true,2,0,438534,8
19,A,cleared,single,5040,6039,6039,5026,900,true,1,0,1392777,0
19,A,cleared,full,4078,5071,12445,10405,1933,true,2,0,1212096,0
19,A,retained,single,6164,6263,6263,6153,4,false,1,0,1392777,0
19,A,retained,full,44,97,1103,0,1001,true,0,2,0,0
19,A,retained,tiles,7,2002,14734,11708,2958,true,1,1,422085,8
19,A,retained,full,9,1999,4002,0,3935,true,0,2,0,0
19,A,retained,tiles,10,2002,4007,0,3938,true,0,2,0,8
19,A,retained,single,12,1999,2000,0,1884,true,0,1,0,0
19,A,retained,tiles,7,2002,4006,0,3930,true,0,2,0,8
19,A,retained,single,12,2000,2000,0,1902,true,0,1,0,0
19,A,retained,full,7,2002,4004,0,3949,true,0,2,0,0
19,B,cleared,single,5710,5818,5818,5692,6,false,1,0,1338150,0
19,B,cleared,full,8824,8877,26607,25474,1006,true,2,0,1170009,0
19,B,cleared,tiles,4734,5723,18221,16218,1928,true,2,0,415869,8
19,B,cleared,full,4087,5086,12510,10464,1952,true,2,0,1170009,0
19,B,cleared,tiles,,,,30011,0,false,1,0,0,0
19,B,cleared,single,4966,5077,5078,4958,5,false,1,0,1338150,0
19,B,cleared,tiles,7729,7795,17314,17197,23,false,2,0,415869,8
19,B,cleared,single,4862,4968,4968,4852,6,false,1,0,1338150,0
19,B,cleared,full,8400,8457,16893,15788,1000,true,2,0,1170009,0
