version,scene,method,rpcMs,firstImageReadyMs,firstSceneMs,frameWaitMs,slowFrameWait,imageBytes,configMs,sceneRowsMs,registeredParentMs,fileMetadataMs,actualParentMs,authorizationMs,previewMetadataMs,previewFetchMs,encodingMs,totalMs,status
21,A,baseline,5340,5355,5477,6,false,1392777,392,383,128,148,0,1051,125,769,1167,3112,complete
21,A,baseline,5141,5148,5200,5,false,1392777,717,695,180,179,0,1771,178,534,685,3168,complete
21,B,baseline,5369,5387,5508,11,false,1338150,923,426,91,123,0,1563,96,512,986,3157,complete
22,A,native,5927,5943,6067,6,false,1392777,709,553,145,130,0,1537,168,740,1326,3771,complete
22,A,local,3504,3543,3594,5,false,1392777,405,406,92,101,0,1004,96,355,70,1525,complete
22,A,local,4841,4887,5879,949,true,1392777,1076,589,176,180,0,2021,184,593,134,2932,complete
22,A,native,5184,5191,6189,955,true,1392777,494,375,247,228,0,1344,139,1410,450,3343,complete
22,A,native,5115,5123,6123,956,true,1392777,424,608,117,181,0,1330,134,535,1549,3548,complete
22,A,local,4768,4775,5772,952,true,1392777,983,566,258,250,0,2057,175,489,116,2837,complete
22,B,native,4381,4398,4517,9,false,1338150,351,713,92,91,0,1247,87,398,967,2699,complete
22,B,local,3211,3246,3296,7,false,1338150,395,439,96,89,0,1019,87,296,81,1483,complete
22,B,local,5246,5276,6277,954,true,1338150,446,453,237,212,0,1348,141,1948,111,3548,complete
22,B,native,7635,7649,8641,945,true,1338150,490,582,112,130,0,1314,99,2767,1586,5766,complete
22,B,native,3751,3765,4755,942,true,1338150,349,401,154,111,0,1015,78,600,720,2413,complete
22,B,local,3377,3384,4371,939,true,1338150,457,423,91,95,0,1066,98,426,130,1720,complete
